JD V-C s1 V-C1 s2 V-C2 s3 V-C3 s4 C-C1 s5 C-C2 s6 C-C3 s7 C1-C2 s8 C1-C3 s9 C2-C3 s10 HELCOR AIRMASS 
Aperture: 3, Filter: R, JD: geocentric
2456967.24446 1.3672 0.0055 -1.4863 0.0166 0.3576 0.0064 -1.0241 0.0117 -2.8535 0.0159 -1.0096 0.0043 -2.3913 0.0107 1.8439 0.0163 0.4622 0.0190 -1.3817 0.0112 0.00227 1.070 
2456967.24594 1.3507 0.0054 -1.4863 0.0167 0.3440 0.0063 -1.0302 0.0118 -2.8370 0.0160 -1.0067 0.0044 -2.3809 0.0109 1.8303 0.0164 0.4561 0.0192 -1.3742 0.0114 0.00227 1.069 
2456967.24743 1.3777 0.0056 -1.4759 0.0169 0.3601 0.0065 -1.0169 0.0123 -2.8536 0.0162 -1.0176 0.0044 -2.3946 0.0114 1.8360 0.0166 0.4590 0.0196 -1.3770 0.0119 0.00227 1.069 
2456967.24892 1.3615 0.0071 -1.5322 0.0235 0.3213 0.0083 -1.0717 0.0161 -2.8937 0.0227 -1.0402 0.0057 -2.4332 0.0149 1.8535 0.0232 0.4605 0.0270 -1.3930 0.0156 0.00227 1.069 
2456967.25043 1.3655 0.0107 -1.5404 0.0395 0.3753 0.0126 -1.0047 0.0257 -2.9059 0.0384 -0.9902 0.0084 -2.3702 0.0239 1.9157 0.0389 0.5357 0.0449 -1.3800 0.0248 0.00227 1.069 
2456967.25192 1.4031 0.0105 -1.4406 0.0355 0.4049 0.0122 -0.9609 0.0235 -2.8437 0.0343 -0.9982 0.0080 -2.3640 0.0216 1.8455 0.0349 0.4797 0.0402 -1.3658 0.0225 0.00227 1.069 
2456967.25341 1.3894 0.0055 -1.4833 0.0171 0.3918 0.0064 -0.9964 0.0119 -2.8727 0.0164 -0.9976 0.0044 -2.3858 0.0109 1.8751 0.0168 0.4869 0.0195 -1.3882 0.0114 0.00227 1.069 
2456967.25492 1.3923 0.0053 -1.4655 0.0162 0.3895 0.0062 -0.9871 0.0114 -2.8578 0.0155 -1.0028 0.0043 -2.3794 0.0105 1.8550 0.0159 0.4784 0.0185 -1.3766 0.0110 0.00227 1.069 
2456967.26174 1.3921 0.0056 -1.4455 0.0167 0.4031 0.0065 -0.9729 0.0120 -2.8376 0.0160 -0.9890 0.0044 -2.3650 0.0110 1.8486 0.0164 0.4726 0.0192 -1.3760 0.0115 0.00227 1.069 
2456967.26323 1.3978 0.0062 -1.4337 0.0188 0.4176 0.0073 -0.9631 0.0134 -2.8315 0.0180 -0.9802 0.0050 -2.3609 0.0123 1.8513 0.0184 0.4706 0.0216 -1.3807 0.0129 0.00227 1.070 
2456967.26472 1.4138 0.0057 -1.3986 0.0167 0.4312 0.0066 -0.9504 0.0117 -2.8124 0.0159 -0.9826 0.0044 -2.3642 0.0106 1.8298 0.0163 0.4482 0.0189 -1.3816 0.0111 0.00227 1.070 
2456967.26621 1.4136 0.0072 -1.4088 0.0212 0.4238 0.0082 -0.9659 0.0154 -2.8224 0.0203 -0.9898 0.0054 -2.3795 0.0141 1.8326 0.0207 0.4429 0.0244 -1.3897 0.0147 0.00227 1.070 
2456967.26771 1.4320 0.0151 -1.4213 0.0515 0.4274 0.0174 -0.9177 0.0350 -2.8533 0.0496 -1.0046 0.0107 -2.3497 0.0322 1.8487 0.0503 0.5036 0.0588 -1.3451 0.0333 0.00227 1.070 
2456967.27069 1.4363 0.0211 -1.4163 0.0722 0.4876 0.0240 -0.9876 0.0506 -2.8526 0.0696 -0.9487 0.0143 -2.4239 0.0468 1.9039 0.0705 0.4287 0.0834 -1.4752 0.0482 0.00227 1.071 
2456967.27219 1.4452 0.0155 -1.3281 0.0478 0.4848 0.0175 -0.9002 0.0337 -2.7733 0.0456 -0.9604 0.0104 -2.3454 0.0306 1.8129 0.0463 0.4279 0.0546 -1.3850 0.0317 0.00227 1.071 
2456967.27370 1.4380 0.0060 -1.3924 0.0168 0.4585 0.0069 -0.9341 0.0125 -2.8304 0.0160 -0.9795 0.0046 -2.3721 0.0114 1.8509 0.0163 0.4583 0.0194 -1.3926 0.0119 0.00227 1.071 
2456967.27520 1.4462 0.0058 -1.3672 0.0161 0.4673 0.0067 -0.9148 0.0118 -2.8134 0.0153 -0.9789 0.0044 -2.3610 0.0107 1.8345 0.0157 0.4524 0.0185 -1.3821 0.0112 0.00227 1.071 
2456967.27966 1.4416 0.0103 -1.4033 0.0345 0.4463 0.0118 -0.9425 0.0239 -2.8449 0.0333 -0.9953 0.0076 -2.3841 0.0221 1.8496 0.0338 0.4608 0.0396 -1.3888 0.0228 0.00227 1.072 
2456967.28116 1.4515 0.0220 99.9999 9.9999 0.5025 0.0253 -0.8532 0.0506 99.9999 9.9999 -0.9490 0.0153 -2.3047 0.0464 99.9999 9.9999 99.9999 9.9999 -1.3557 0.0481 0.00227 1.073 
2456967.31879 1.4891 0.0074 -1.3280 0.0220 0.5327 0.0084 -0.8253 0.0147 -2.8171 0.0210 -0.9564 0.0052 -2.3144 0.0131 1.8607 0.0214 0.5027 0.0246 -1.3580 0.0137 0.00227 1.090 
