JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6 HELCOR AIRMASS 
Aperture: 5, Filter: V, JD: geocentric
2457070.42652 -2.1980 0.0098 -1.7863 0.0072 99.9999 9.9999 0.4117 0.0118 99.9999 9.9999 99.9999 9.9999 0.00238 1.161 
2457070.42705 -2.1984 0.0102 -1.7723 0.0073 -1.5046 0.0061 0.4261 0.0123 0.6938 0.0116 0.2677 0.0092 0.00238 1.162 
2457070.42758 -2.1947 0.0101 -1.7765 0.0076 -1.4963 0.0061 0.4182 0.0123 0.6984 0.0115 0.2802 0.0093 0.00238 1.163 
2457070.42811 -2.2006 0.0103 -1.7746 0.0074 -1.4994 0.0061 0.4260 0.0123 0.7012 0.0116 0.2752 0.0092 0.00238 1.164 
2457070.42865 -2.1885 0.0100 -1.7794 0.0075 -1.5082 0.0059 0.4091 0.0122 0.6803 0.0113 0.2712 0.0092 0.00238 1.166 
2457070.42918 -2.2088 0.0104 -1.7751 0.0072 -1.5000 0.0061 0.4337 0.0123 0.7088 0.0117 0.2751 0.0090 0.00238 1.167 
2457070.42971 -2.2056 0.0103 -1.7878 0.0073 -1.5142 0.0061 0.4178 0.0123 0.6914 0.0116 0.2736 0.0091 0.00238 1.168 
2457070.43024 -2.1998 0.0099 -1.7816 0.0073 -1.5098 0.0062 0.4182 0.0120 0.6900 0.0114 0.2718 0.0092 0.00238 1.169 
2457070.43077 -2.2006 0.0103 -1.7589 0.0074 -1.4940 0.0061 0.4417 0.0124 0.7066 0.0116 0.2649 0.0092 0.00238 1.170 
2457070.43130 -2.1917 0.0101 -1.7737 0.0072 -1.4953 0.0061 0.4180 0.0121 0.6964 0.0115 0.2784 0.0090 0.00238 1.171 
2457070.43183 -2.2060 0.0106 -1.7646 0.0074 -1.4926 0.0061 0.4414 0.0126 0.7134 0.0119 0.2720 0.0092 0.00238 1.173 
