1375.371003	10.572	0.011	2
1401.308513	10.681	0.011	34
1401.309533	10.686	0.011	34
1408.346213	10.557	0.01	34
1415.376486	10.566	0.013	2
1421.245486	10.604	0.015	0
1421.301636	10.611	0.013	2
1421.301956	10.617	0.013	2
1426.324253	10.554	0.01	34
1426.325263	10.688	0.01	50
1427.323373	10.591	0.01	34
1427.324393	10.605	0.01	34
1437.380733	10.566	0.01	34
1441.305153	10.546	0.01	34
1441.306163	10.545	0.01	34
1443.220256	10.636	0.013	2
1443.220576	10.586	0.013	2
1443.276206	10.571	0.012	34
1443.276526	10.566	0.012	2
1449.263986	10.554	0.012	2
1449.264306	10.619	0.013	2
1449.320956	10.57	0.012	2
1449.321276	10.574	0.012	2
1452.175696	10.57	0.012	34
1452.176016	10.598	0.012	2
1455.326533	10.612	0.01	34
1459.294053	10.569	0.01	34
1461.292913	10.905	0.01	34
1461.293933	10.885	0.01	34
1470.127683	10.587	0.011	34
1475.114546	10.563	0.016	0
1475.114866	10.554	0.016	2
1475.170856	10.599	0.014	2
1475.171166	10.625	0.014	2
1478.143796	10.625	0.014	0
1478.144116	10.606	0.014	2
1479.086746	10.548	0.013	34
1479.087066	10.561	0.013	2
1481.143156	10.576	0.011	2
1481.143476	10.583	0.012	2
1482.142446	10.794	0.012	2
1482.142776	10.812	0.012	2
1483.084416	10.644	0.012	2
1483.143816	10.592	0.011	34
1483.144136	10.61	0.011	2
1484.270643	10.57	0.01	34
1484.271663	10.58	0.01	34
1485.114693	10.578	0.01	34
1485.115713	10.588	0.01	34
1489.269513	10.735	0.01	34
1490.155223	10.487	0.011	34
1497.151283	10.519	0.01	34
1504.193836	10.738	0.015	2
1504.194156	10.721	0.015	2
1504.281956	10.628	0.014	2
1504.282276	10.599	0.014	2
1505.204276	10.627	0.017	2
1505.204586	10.601	0.016	2
1507.225666	10.61	0.014	2
1507.396186	10.604	0.014	2
1507.396496	10.578	0.013	2
1508.287856	10.563	0.012	2
1508.288166	10.583	0.012	2
1513.338523	10.543	0.01	34
1514.150323	10.539	0.01	34
1522.336033	10.579	0.013	2
1522.337053	10.582	0.014	2
1526.148553	10.771	0.01	34
1526.149563	10.793	0.01	34
1532.119366	10.572	0.014	2
1532.119686	10.539	0.013	2
1532.212426	10.787	0.014	2
1532.212746	10.804	0.014	0
1535.120376	10.574	0.015	2
1535.120686	10.578	0.015	2
1535.210136	10.619	0.015	0
1535.210456	10.59	0.015	2
1536.120736	10.575	0.013	2
1536.121046	10.547	0.013	2
1536.213856	10.582	0.013	2
1536.214166	10.602	0.013	2
1537.121126	10.792	0.013	2
1537.121446	10.778	0.013	34
1540.123096	10.566	0.012	2
1540.123416	10.583	0.012	2
1540.278886	10.559	0.011	34
1540.279196	10.543	0.011	2
1541.217366	10.549	0.014	2
1541.217686	10.558	0.014	2
1542.123936	10.684	0.012	34
1542.124246	10.667	0.012	2
1542.216946	10.563	0.011	2
1542.217266	10.619	0.011	2
1548.124936	10.771	0.012	2
1548.212466	10.78	0.012	2
1548.212776	10.747	0.012	2
1566.094386	10.513	0.011	34
1566.155796	10.56	0.014	0
1566.156116	10.561	0.014	2
1567.326966	10.559	0.012	2
1567.327276	10.555	0.012	2
1582.298203	10.541	0.011	34
1593.246366	10.569	0.014	2
1593.246676	10.574	0.013	2
1597.180436	10.689	0.012	2
1597.180766	10.705	0.012	2
1598.115376	10.57	0.011	2
1598.115686	10.571	0.011	34
1598.247896	10.68	0.015	2
1598.248206	10.684	0.015	2
1600.286843	10.571	0.011	34
1608.153353	10.824	0.01	34
1630.136676	10.874	0.015	2

+2450000.5

Usunac dwie ostatnie kolumny
