JD V-C s1 V-C1 s2 V-C2 s3 V-C3 s4 V-C4 s5 C-C1 s6 C-C2 s7 C-C3 s8 C-C4 s9 C1-C2 s10 C1-C3 s11 C1-C4 s12 C2-C3 s13 C2-C4 s14 C3-C4 s15 HELCOR AIRMASS 
Aperture: 3, Filter: I, JD: geocentric
2456972.21624 -5.1571 0.0337 -2.6956 0.0043 -6.1950 0.0713 -5.4278 0.0357 -5.3989 0.0351 2.4615 0.0340 -1.0379 0.0789 -0.2707 0.0491 -0.2418 0.0487 -3.4994 0.0714 -2.7322 0.0359 -2.7033 0.0354 0.7672 0.0797 0.7961 0.0795 0.0289 0.0501 0.00333 2.453 
2456972.21691 -5.1585 0.0308 -2.6574 0.0039 -6.2135 0.0660 -5.5034 0.0342 -5.3634 0.0313 2.5011 0.0310 -1.0550 0.0728 -0.3449 0.0460 -0.2049 0.0439 -3.5561 0.0661 -2.8460 0.0344 -2.7060 0.0315 0.7101 0.0743 0.8501 0.0730 0.1400 0.0464 0.00333 2.446 
2456972.21796 -5.1795 0.0583 -2.7447 0.0071 99.9999 9.9999 -5.4595 0.0682 -5.4163 0.0667 2.4348 0.0587 99.9999 9.9999 -0.2800 0.0897 -0.2368 0.0886 99.9999 9.9999 -2.7148 0.0686 -2.6716 0.0671 99.9999 9.9999 99.9999 9.9999 0.0432 0.0954 0.00333 2.435 
2456972.21857 -5.1611 0.0623 -2.6747 0.0073 -6.2009 0.1408 -5.4601 0.0733 -5.3961 0.0680 2.4864 0.0627 -1.0398 0.1540 -0.2990 0.0962 -0.2350 0.0922 -3.5262 0.1410 -2.7854 0.0736 -2.7214 0.0684 0.7408 0.1587 0.8048 0.1564 0.0640 0.1000 0.00333 2.429 
2456972.21922 -5.1146 0.0641 -2.6400 0.0076 -5.9778 0.1231 -5.4556 0.0789 -5.4082 0.0759 2.4746 0.0645 -0.8632 0.1388 -0.3410 0.1017 -0.2936 0.0993 -3.3378 0.1233 -2.8156 0.0793 -2.7682 0.0763 0.5222 0.1462 0.5696 0.1446 0.0474 0.1095 0.00333 2.422 
2456972.21985 -5.2074 0.0810 -2.6972 0.0094 99.9999 9.9999 -5.4343 0.0899 -5.5531 0.1005 2.5102 0.0815 99.9999 9.9999 -0.2269 0.1210 -0.3457 0.1291 99.9999 9.9999 -2.7371 0.0904 -2.8559 0.1009 99.9999 9.9999 99.9999 9.9999 -0.1188 0.1348 0.00333 2.415 
2456972.22052 -5.1702 0.0732 -2.7693 0.0089 99.9999 9.9999 -5.5350 0.0894 -5.4175 0.0795 2.4009 0.0737 99.9999 9.9999 -0.3648 0.1155 -0.2473 0.1081 99.9999 9.9999 -2.7657 0.0898 -2.6482 0.0800 99.9999 9.9999 99.9999 9.9999 0.1175 0.1196 0.00333 2.408 
2456972.22114 -5.1029 0.0886 -2.5111 0.0095 99.9999 9.9999 -5.4312 0.1091 99.9999 9.9999 2.5918 0.0891 99.9999 9.9999 -0.3283 0.1405 99.9999 9.9999 99.9999 9.9999 -2.9201 0.1095 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 0.00333 2.402 
2456972.22178 -5.1581 0.1028 -2.4863 0.0103 99.9999 9.9999 -5.7129 0.1614 99.9999 9.9999 2.6718 0.1033 99.9999 9.9999 -0.5548 0.1914 99.9999 9.9999 99.9999 9.9999 -3.2266 0.1617 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 0.00333 2.395 
2456972.22242 -5.1419 0.1079 -2.7013 0.0129 99.9999 9.9999 -5.5445 0.1465 -5.3254 0.1211 2.4406 0.1086 99.9999 9.9999 -0.4026 0.1819 -0.1835 0.1622 99.9999 9.9999 -2.8432 0.1470 -2.6241 0.1218 99.9999 9.9999 99.9999 9.9999 0.2191 0.1901 0.00333 2.389 
