JD V-C s1 V-C1 s2 V-C2 s3 V-C3 s4 V-C4 s5 C-C1 s6 C-C2 s7 C-C3 s8 C-C4 s9 C1-C2 s10 C1-C3 s11 C1-C4 s12 C2-C3 s13 C2-C4 s14 C3-C4 s15 HELCOR AIRMASS 
Aperture: 3, Filter: I, JD: geocentric
2456972.26426 -4.9714 0.0615 -2.6498 0.0082 99.9999 9.9999 -5.4843 0.0902 99.9999 9.9999 2.3216 0.0620 99.9999 9.9999 -0.5129 0.1092 99.9999 9.9999 99.9999 9.9999 -2.8345 0.0906 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 0.00333 1.996 
2456972.26494 -5.1435 0.0760 -2.6525 0.0086 99.9999 9.9999 -5.3628 0.0841 -5.3926 0.0913 2.4910 0.0765 99.9999 9.9999 -0.2193 0.1134 -0.2491 0.1188 99.9999 9.9999 -2.7103 0.0845 -2.7401 0.0917 99.9999 9.9999 99.9999 9.9999 -0.0298 0.1241 0.00333 1.991 
2456972.27581 -5.2187 0.1769 -2.5491 0.0163 99.9999 9.9999 -5.2490 0.1819 99.9999 9.9999 2.6696 0.1776 99.9999 9.9999 -0.0303 0.2537 99.9999 9.9999 99.9999 9.9999 -2.6999 0.1826 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 0.00333 1.903 
2456972.27789 -5.1380 0.1449 -2.5263 0.0136 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 2.6117 0.1455 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 0.00333 1.887 
2456972.28068 -5.1123 0.1725 -2.5509 0.0165 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 2.5614 0.1733 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 0.00333 1.865 
2456972.28211 -5.0828 0.1074 -2.4471 0.0107 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 2.6357 0.1079 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 0.00333 1.855 
2456972.28280 -5.0289 0.0839 -2.6174 0.0099 99.9999 9.9999 -5.4385 0.1100 -5.4205 0.1125 2.4115 0.0845 99.9999 9.9999 -0.4096 0.1383 -0.3916 0.1403 99.9999 9.9999 -2.8211 0.1104 -2.8031 0.1129 99.9999 9.9999 99.9999 9.9999 0.0180 0.1573 0.00333 1.849 
2456972.28351 -5.0294 0.0782 -2.5180 0.0088 99.9999 9.9999 -5.2181 0.0891 -5.3799 0.1037 2.5114 0.0787 99.9999 9.9999 -0.1887 0.1185 -0.3505 0.1299 99.9999 9.9999 -2.7001 0.0895 -2.8619 0.1041 99.9999 9.9999 99.9999 9.9999 -0.1618 0.1367 0.00333 1.844 
2456972.28420 -5.0607 0.0701 -2.5165 0.0080 99.9999 9.9999 -5.3865 0.0882 99.9999 9.9999 2.5442 0.0705 99.9999 9.9999 -0.3258 0.1127 99.9999 9.9999 99.9999 9.9999 -2.8700 0.0885 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 0.00333 1.839 
2456972.28491 -5.0371 0.0686 -2.5197 0.0076 99.9999 9.9999 99.9999 9.9999 -5.2716 0.0807 2.5174 0.0690 99.9999 9.9999 99.9999 9.9999 -0.2345 0.1059 99.9999 9.9999 99.9999 9.9999 -2.7519 0.0810 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 0.00333 1.834 
2456972.28560 -5.1014 0.0556 -2.6744 0.0068 99.9999 9.9999 -5.1789 0.0555 -5.1347 0.0538 2.4270 0.0560 99.9999 9.9999 -0.0775 0.0786 -0.0333 0.0774 99.9999 9.9999 -2.5045 0.0559 -2.4603 0.0542 99.9999 9.9999 99.9999 9.9999 0.0442 0.0773 0.00333 1.829 
2456972.28631 -4.9961 0.0472 99.9999 9.9999 99.9999 9.9999 -5.2769 0.0547 -5.2445 0.0544 99.9999 9.9999 99.9999 9.9999 -0.2808 0.0722 -0.2484 0.0720 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 0.0324 0.0771 0.00333 1.823 
2456972.28699 -5.0141 0.0452 -2.5528 0.0054 -6.1305 0.1049 -5.2584 0.0490 -5.2690 0.0494 2.4613 0.0455 -1.1164 0.1142 -0.2443 0.0667 -0.2549 0.0670 -3.5777 0.1050 -2.7056 0.0493 -2.7162 0.0497 0.8721 0.1158 0.8615 0.1159 -0.0106 0.0696 0.00333 1.819 
2456972.28770 -4.9818 0.0382 -2.5758 0.0051 -6.1156 0.0879 -5.2606 0.0428 -5.2805 0.0455 2.4060 0.0385 -1.1338 0.0958 -0.2788 0.0574 -0.2987 0.0594 -3.5398 0.0880 -2.6848 0.0431 -2.7047 0.0458 0.8550 0.0978 0.8351 0.0990 -0.0199 0.0625 0.00333 1.813 
2456972.28839 -5.0389 0.0409 -2.6298 0.0052 -6.1505 0.0867 -5.2737 0.0435 -5.3252 0.0441 2.4091 0.0412 -1.1116 0.0959 -0.2348 0.0597 -0.2863 0.0601 -3.5207 0.0868 -2.6439 0.0438 -2.6954 0.0444 0.8768 0.0970 0.8253 0.0973 -0.0515 0.0619 0.00333 1.808 
2456972.28907 -4.9742 0.0379 -2.4880 0.0045 -6.0178 0.0775 -5.3116 0.0420 -5.4129 0.0471 2.4862 0.0382 -1.0436 0.0863 -0.3374 0.0566 -0.4387 0.0605 -3.5298 0.0776 -2.8236 0.0422 -2.9249 0.0473 0.7062 0.0881 0.6049 0.0907 -0.1013 0.0631 0.00333 1.803 
2456972.28978 -4.9789 0.0337 -2.5381 0.0044 -6.0509 0.0731 -5.2904 0.0386 -5.3447 0.0398 2.4408 0.0340 -1.0720 0.0805 -0.3115 0.0512 -0.3658 0.0522 -3.5128 0.0732 -2.7523 0.0388 -2.8066 0.0400 0.7605 0.0827 0.7062 0.0832 -0.0543 0.0554 0.00333 1.798 
2456972.29046 -5.0035 0.0306 -2.5694 0.0041 -6.0619 0.0636 -5.2226 0.0301 -5.2512 0.0318 2.4341 0.0309 -1.0584 0.0706 -0.2191 0.0429 -0.2477 0.0441 -3.4925 0.0637 -2.6532 0.0304 -2.6818 0.0321 0.8393 0.0704 0.8107 0.0711 -0.0286 0.0438 0.00333 1.794 
2456972.29116 -5.0109 0.0350 -2.6262 0.0046 -6.1348 0.0809 -5.3243 0.0389 -5.3280 0.0394 2.3847 0.0353 -1.1239 0.0881 -0.3134 0.0523 -0.3171 0.0527 -3.5086 0.0810 -2.6981 0.0392 -2.7018 0.0397 0.8105 0.0898 0.8068 0.0900 -0.0037 0.0554 0.00333 1.789 
2456972.29184 -4.9841 0.0308 -2.5671 0.0042 -6.1007 0.0691 -5.2610 0.0335 -5.2185 0.0315 2.4170 0.0311 -1.1166 0.0757 -0.2769 0.0455 -0.2344 0.0441 -3.5336 0.0692 -2.6939 0.0337 -2.6514 0.0318 0.8397 0.0768 0.8822 0.0759 0.0425 0.0460 0.00333 1.784 
2456972.29251 -4.9763 0.0286 -2.5889 0.0040 -6.0579 0.0618 -5.3508 0.0341 -5.2751 0.0340 2.3874 0.0289 -1.0816 0.0681 -0.3745 0.0445 -0.2988 0.0444 -3.4690 0.0619 -2.7619 0.0343 -2.6862 0.0342 0.7071 0.0706 0.7828 0.0705 0.0757 0.0482 0.00333 1.779 
2456972.29319 -4.9956 0.0320 -2.5871 0.0043 99.9999 9.9999 -5.3054 0.0366 -5.2981 0.0358 2.4085 0.0323 99.9999 9.9999 -0.3098 0.0486 -0.3025 0.0480 99.9999 9.9999 -2.7183 0.0368 -2.7110 0.0360 99.9999 9.9999 99.9999 9.9999 0.0073 0.0512 0.00333 1.774 
2456972.29388 -4.9961 0.0304 -2.5171 0.0040 -6.1132 0.0662 -5.2206 0.0323 -5.2636 0.0339 2.4790 0.0306 -1.1171 0.0728 -0.2245 0.0444 -0.2675 0.0455 -3.5961 0.0663 -2.7035 0.0325 -2.7465 0.0341 0.8926 0.0737 0.8496 0.0744 -0.0430 0.0468 0.00333 1.770 
2456972.29455 -4.9893 0.0306 -2.5543 0.0039 -5.9743 0.0566 -5.3107 0.0342 -5.3209 0.0343 2.4350 0.0308 -0.9850 0.0643 -0.3214 0.0459 -0.3316 0.0460 -3.4200 0.0567 -2.7564 0.0344 -2.7666 0.0345 0.6636 0.0661 0.6534 0.0662 -0.0102 0.0484 0.00333 1.765 
2456972.29523 -5.0108 0.0285 -2.5717 0.0039 -6.0102 0.0559 -5.2361 0.0299 -5.3308 0.0329 2.4391 0.0288 -0.9994 0.0627 -0.2253 0.0413 -0.3200 0.0435 -3.4385 0.0560 -2.6644 0.0301 -2.7591 0.0331 0.7741 0.0634 0.6794 0.0649 -0.0947 0.0445 0.00333 1.760 
2456972.29595 -4.9588 0.0258 99.9999 9.9999 -6.0457 0.0563 -5.2839 0.0299 -5.2469 0.0272 99.9999 9.9999 -1.0869 0.0619 -0.3251 0.0395 -0.2881 0.0375 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 0.7618 0.0637 0.7988 0.0625 0.0370 0.0404 0.00333 1.755 
2456972.29662 -5.0133 0.0294 -2.6153 0.0040 -6.0698 0.0610 -5.2868 0.0318 -5.2790 0.0323 2.3980 0.0297 -1.0565 0.0677 -0.2735 0.0433 -0.2657 0.0437 -3.4545 0.0611 -2.6715 0.0320 -2.6637 0.0325 0.7830 0.0688 0.7908 0.0690 0.0078 0.0453 0.00333 1.751 
2456972.29730 -4.9957 0.0316 -2.6106 0.0043 -6.0365 0.0662 -5.2954 0.0355 -5.2653 0.0353 2.3851 0.0319 -1.0408 0.0734 -0.2997 0.0475 -0.2696 0.0474 -3.4259 0.0663 -2.6848 0.0357 -2.6547 0.0355 0.7411 0.0751 0.7712 0.0750 0.0301 0.0501 0.00333 1.746 
2456972.29798 -5.0541 0.0301 -2.5826 0.0039 -6.1009 0.0608 -5.3021 0.0319 -5.2454 0.0309 2.4715 0.0303 -1.0468 0.0678 -0.2480 0.0439 -0.1913 0.0431 -3.5183 0.0609 -2.7195 0.0321 -2.6628 0.0311 0.7988 0.0687 0.8555 0.0682 0.0567 0.0444 0.00333 1.741 
2456972.29866 -4.9873 0.0292 -2.6155 0.0041 -6.0377 0.0603 -5.3110 0.0332 -5.2400 0.0307 2.3718 0.0295 -1.0504 0.0670 -0.3237 0.0442 -0.2527 0.0424 -3.4222 0.0604 -2.6955 0.0334 -2.6245 0.0310 0.7267 0.0688 0.7977 0.0677 0.0710 0.0452 0.00333 1.737 
2456972.29933 -5.0171 0.0292 -2.5691 0.0039 -5.9548 0.0545 -5.2173 0.0299 -5.2982 0.0331 2.4480 0.0294 -0.9377 0.0618 -0.2002 0.0418 -0.2811 0.0441 -3.3857 0.0546 -2.6482 0.0301 -2.7291 0.0333 0.7375 0.0622 0.6566 0.0638 -0.0809 0.0446 0.00333 1.732 
2456972.30001 -4.9651 0.0291 -2.6674 0.0042 -6.1227 0.0633 -5.3010 0.0316 -5.2761 0.0312 2.2977 0.0294 -1.1576 0.0697 -0.3359 0.0430 -0.3110 0.0427 -3.4553 0.0634 -2.6336 0.0319 -2.6087 0.0315 0.8217 0.0707 0.8466 0.0706 0.0249 0.0444 0.00333 1.728 
2456972.30068 -5.0313 0.0326 -2.6085 0.0043 -6.0723 0.0653 -5.2654 0.0336 -5.2713 0.0347 2.4228 0.0329 -1.0410 0.0730 -0.2341 0.0468 -0.2400 0.0476 -3.4638 0.0654 -2.6569 0.0339 -2.6628 0.0350 0.8069 0.0734 0.8010 0.0739 -0.0059 0.0483 0.00333 1.723 
2456972.30137 -4.9797 0.0308 -2.5545 0.0041 -6.0814 0.0679 -5.2840 0.0340 -5.2982 0.0360 2.4252 0.0311 -1.1017 0.0746 -0.3043 0.0459 -0.3185 0.0474 -3.5269 0.0680 -2.7295 0.0342 -2.7437 0.0362 0.7974 0.0759 0.7832 0.0769 -0.0142 0.0495 0.00333 1.719 
2456972.30204 -4.9977 0.0305 -2.5454 0.0040 -6.1274 0.0707 -5.2919 0.0354 -5.3056 0.0351 2.4523 0.0307 -1.1297 0.0770 -0.2942 0.0467 -0.3079 0.0465 -3.5820 0.0708 -2.7465 0.0356 -2.7602 0.0353 0.8355 0.0791 0.8218 0.0789 -0.0137 0.0499 0.00333 1.714 
2456972.30272 -4.9755 0.0310 -2.6094 0.0043 -6.1211 0.0699 -5.3000 0.0354 -5.2801 0.0345 2.3661 0.0313 -1.1456 0.0765 -0.3245 0.0471 -0.3046 0.0464 -3.5117 0.0700 -2.6906 0.0356 -2.6707 0.0348 0.8211 0.0784 0.8410 0.0780 0.0199 0.0494 0.00333 1.710 
2456972.30343 -5.0136 0.0348 -2.6026 0.0045 99.9999 9.9999 -5.2874 0.0376 -5.3560 0.0396 2.4110 0.0351 99.9999 9.9999 -0.2738 0.0512 -0.3424 0.0527 99.9999 9.9999 -2.6848 0.0379 -2.7534 0.0398 99.9999 9.9999 99.9999 9.9999 -0.0686 0.0546 0.00333 1.705 
2456972.30410 -4.9823 0.0324 -2.5571 0.0042 -6.0653 0.0682 -5.2272 0.0356 -5.3098 0.0390 2.4252 0.0327 -1.0830 0.0755 -0.2449 0.0481 -0.3275 0.0507 -3.5082 0.0683 -2.6701 0.0358 -2.7527 0.0392 0.8381 0.0769 0.7555 0.0786 -0.0826 0.0528 0.00333 1.701 
2456972.30477 -4.9962 0.0310 -2.5565 0.0040 -6.0504 0.0619 -5.2842 0.0327 -5.3222 0.0354 2.4397 0.0312 -1.0542 0.0692 -0.2880 0.0451 -0.3260 0.0471 -3.4939 0.0620 -2.7277 0.0329 -2.7657 0.0356 0.7662 0.0700 0.7282 0.0713 -0.0380 0.0482 0.00333 1.696 
2456972.30545 -5.0270 0.0309 -2.6321 0.0041 -6.0754 0.0667 -5.2399 0.0310 -5.3167 0.0340 2.3949 0.0312 -1.0484 0.0735 -0.2129 0.0438 -0.2897 0.0459 -3.4433 0.0668 -2.6078 0.0313 -2.6846 0.0342 0.8355 0.0736 0.7587 0.0749 -0.0768 0.0460 0.00333 1.692 
2456972.30612 -4.9627 0.0335 -2.5581 0.0044 -6.1472 0.0835 -5.2767 0.0406 -5.3011 0.0406 2.4046 0.0338 -1.1845 0.0900 -0.3140 0.0526 -0.3384 0.0526 -3.5891 0.0836 -2.7186 0.0408 -2.7430 0.0408 0.8705 0.0928 0.8461 0.0928 -0.0244 0.0574 0.00333 1.688 
2456972.30681 -5.0008 0.0340 -2.5865 0.0044 -6.1379 0.0777 -5.2729 0.0372 -5.2488 0.0362 2.4143 0.0343 -1.1371 0.0848 -0.2721 0.0504 -0.2480 0.0497 -3.5514 0.0778 -2.6864 0.0374 -2.6623 0.0365 0.8650 0.0861 0.8891 0.0857 0.0241 0.0519 0.00333 1.683 
2456972.30749 -5.0803 0.0378 -2.5579 0.0045 -6.0979 0.0777 -5.2912 0.0409 -5.3848 0.0435 2.5224 0.0381 -1.0176 0.0864 -0.2109 0.0557 -0.3045 0.0576 -3.5400 0.0778 -2.7333 0.0411 -2.8269 0.0437 0.8067 0.0878 0.7131 0.0890 -0.0936 0.0597 0.00333 1.679 
2456972.30816 -4.9590 0.0309 -2.6208 0.0045 99.9999 9.9999 -5.2270 0.0339 -5.2932 0.0378 2.3382 0.0312 99.9999 9.9999 -0.2680 0.0459 -0.3342 0.0488 99.9999 9.9999 -2.6062 0.0342 -2.6724 0.0381 99.9999 9.9999 99.9999 9.9999 -0.0662 0.0508 0.00333 1.675 
2456972.30884 -5.0033 0.0301 -2.5558 0.0039 -6.0237 0.0600 -5.2753 0.0316 -5.3153 0.0335 2.4475 0.0303 -1.0204 0.0671 -0.2720 0.0436 -0.3120 0.0450 -3.4679 0.0601 -2.7195 0.0318 -2.7595 0.0337 0.7484 0.0678 0.7084 0.0687 -0.0400 0.0461 0.00333 1.670 
2456972.30951 -5.0015 0.0296 -2.6144 0.0039 -6.1212 0.0629 -5.2899 0.0322 -5.2976 0.0316 2.3871 0.0298 -1.1197 0.0695 -0.2884 0.0437 -0.2961 0.0433 -3.5068 0.0630 -2.6755 0.0324 -2.6832 0.0318 0.8313 0.0707 0.8236 0.0704 -0.0077 0.0451 0.00333 1.666 
2456972.31018 -4.9818 0.0315 -2.6094 0.0042 -5.9371 0.0586 -5.2717 0.0336 -5.2957 0.0346 2.3724 0.0318 -0.9553 0.0665 -0.2899 0.0461 -0.3139 0.0468 -3.3277 0.0587 -2.6623 0.0338 -2.6863 0.0348 0.6654 0.0675 0.6414 0.0681 -0.0240 0.0482 0.00333 1.662 
2456972.31087 -4.9878 0.0308 -2.5294 0.0039 -6.0902 0.0661 -5.2998 0.0349 -5.2985 0.0336 2.4584 0.0310 -1.1024 0.0729 -0.3120 0.0465 -0.3107 0.0456 -3.5608 0.0662 -2.7704 0.0351 -2.7691 0.0338 0.7904 0.0747 0.7917 0.0741 0.0013 0.0484 0.00333 1.658 
2456972.31154 -4.9604 0.0280 -2.5489 0.0039 -6.0584 0.0638 -5.2453 0.0315 -5.3088 0.0333 2.4115 0.0283 -1.0980 0.0697 -0.2849 0.0421 -0.3484 0.0435 -3.5095 0.0639 -2.6964 0.0317 -2.7599 0.0335 0.8131 0.0712 0.7496 0.0720 -0.0635 0.0458 0.00333 1.654 
2456972.31222 -5.0114 0.0314 -2.5503 0.0042 -6.1892 0.0773 -5.2612 0.0352 -5.3378 0.0374 2.4611 0.0317 -1.1778 0.0834 -0.2498 0.0472 -0.3264 0.0488 -3.6389 0.0774 -2.7109 0.0354 -2.7875 0.0376 0.9280 0.0849 0.8514 0.0859 -0.0766 0.0514 0.00333 1.649 
2456972.31289 -4.9594 0.0250 -2.5444 0.0035 -6.1831 0.0590 -5.2705 0.0286 -5.3003 0.0283 2.4150 0.0252 -1.2237 0.0641 -0.3111 0.0380 -0.3409 0.0378 -3.6387 0.0591 -2.7261 0.0288 -2.7559 0.0285 0.9126 0.0656 0.8828 0.0654 -0.0298 0.0402 0.00333 1.645 
2456972.31358 -5.0160 0.0278 -2.5578 0.0036 -6.0517 0.0548 -5.2984 0.0296 -5.2630 0.0291 2.4582 0.0280 -1.0357 0.0614 -0.2824 0.0406 -0.2470 0.0402 -3.4939 0.0549 -2.7406 0.0298 -2.7052 0.0293 0.7533 0.0623 0.7887 0.0620 0.0354 0.0415 0.00333 1.641 
2456972.31425 -4.9631 0.0231 -2.5647 0.0034 -6.1286 0.0523 -5.2817 0.0246 -5.2664 0.0250 2.3984 0.0233 -1.1655 0.0572 -0.3186 0.0337 -0.3033 0.0340 -3.5639 0.0524 -2.7170 0.0248 -2.7017 0.0252 0.8469 0.0578 0.8622 0.0580 0.0153 0.0351 0.00333 1.637 
2456972.31493 -4.9422 0.0212 -2.5264 0.0031 -6.0680 0.0451 -5.2625 0.0235 -5.2745 0.0221 2.4158 0.0214 -1.1258 0.0498 -0.3203 0.0316 -0.3323 0.0306 -3.5416 0.0452 -2.7361 0.0237 -2.7481 0.0223 0.8055 0.0509 0.7935 0.0502 -0.0120 0.0323 0.00333 1.633 
2456972.31561 -5.0018 0.0220 -2.5589 0.0031 -6.0374 0.0423 -5.2548 0.0221 -5.2624 0.0222 2.4429 0.0222 -1.0356 0.0477 -0.2530 0.0312 -0.2606 0.0313 -3.4785 0.0424 -2.6959 0.0223 -2.7035 0.0224 0.7826 0.0477 0.7750 0.0478 -0.0076 0.0313 0.00333 1.629 
2456972.31630 -4.9237 0.0221 -2.5217 0.0031 -6.0054 0.0430 -5.2572 0.0226 -5.2334 0.0233 2.4020 0.0223 -1.0817 0.0483 -0.3335 0.0316 -0.3097 0.0321 -3.4837 0.0431 -2.7355 0.0228 -2.7117 0.0235 0.7482 0.0486 0.7720 0.0489 0.0238 0.0325 0.00333 1.625 
2456972.31699 -5.0080 0.0243 -2.5645 0.0032 -6.0531 0.0452 -5.2823 0.0253 -5.2918 0.0251 2.4435 0.0245 -1.0451 0.0513 -0.2743 0.0351 -0.2838 0.0349 -3.4886 0.0453 -2.7178 0.0255 -2.7273 0.0253 0.7708 0.0518 0.7613 0.0517 -0.0095 0.0356 0.00333 1.621 
2456972.31770 -4.9663 0.0212 99.9999 9.9999 -6.0424 0.0416 -5.3182 0.0223 -5.2682 0.0218 99.9999 9.9999 -1.0761 0.0467 -0.3519 0.0308 -0.3019 0.0304 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 0.7242 0.0472 0.7742 0.0470 0.0500 0.0312 0.00333 1.616 
2456972.31840 -4.9814 0.0213 -2.5255 0.0030 -6.0566 0.0416 -5.2645 0.0216 -5.2337 0.0207 2.4559 0.0215 -1.0752 0.0467 -0.2831 0.0303 -0.2523 0.0297 -3.5311 0.0417 -2.7390 0.0218 -2.7082 0.0209 0.7921 0.0469 0.8229 0.0465 0.0308 0.0299 0.00333 1.612 
2456972.31914 -4.9872 0.0226 -2.5557 0.0031 -6.0075 0.0413 -5.2691 0.0223 -5.2611 0.0220 2.4315 0.0228 -1.0203 0.0471 -0.2819 0.0317 -0.2739 0.0315 -3.4518 0.0414 -2.7134 0.0225 -2.7054 0.0222 0.7384 0.0469 0.7464 0.0468 0.0080 0.0313 0.00333 1.608 
2456972.31984 -4.9521 0.0212 -2.4944 0.0029 -6.0188 0.0416 -5.2310 0.0214 -5.2622 0.0222 2.4577 0.0214 -1.0667 0.0467 -0.2789 0.0301 -0.3101 0.0307 -3.5244 0.0417 -2.7366 0.0216 -2.7678 0.0224 0.7878 0.0468 0.7566 0.0472 -0.0312 0.0308 0.00333 1.604 
2456972.32054 -4.9275 0.0194 -2.4838 0.0028 -5.9876 0.0368 -5.2290 0.0199 -5.1969 0.0195 2.4437 0.0196 -1.0601 0.0416 -0.3015 0.0278 -0.2694 0.0275 -3.5038 0.0369 -2.7452 0.0201 -2.7131 0.0197 0.7586 0.0418 0.7907 0.0416 0.0321 0.0279 0.00333 1.600 
2456972.32125 -4.8951 0.0202 -2.5313 0.0029 -5.9825 0.0397 -5.2378 0.0211 -5.2427 0.0205 2.3638 0.0204 -1.0874 0.0445 -0.3427 0.0292 -0.3476 0.0288 -3.4512 0.0398 -2.7065 0.0213 -2.7114 0.0207 0.7447 0.0450 0.7398 0.0447 -0.0049 0.0294 0.00333 1.596 
2456972.32196 -4.9099 0.0185 -2.5078 0.0028 -5.9810 0.0359 -5.2393 0.0198 -5.2527 0.0206 2.4021 0.0187 -1.0711 0.0404 -0.3294 0.0271 -0.3428 0.0277 -3.4732 0.0360 -2.7315 0.0200 -2.7449 0.0208 0.7417 0.0410 0.7283 0.0414 -0.0134 0.0286 0.00333 1.592 
2456972.32264 -4.9457 0.0192 -2.5657 0.0028 -6.0754 0.0366 -5.2424 0.0179 -5.2693 0.0188 2.3800 0.0194 -1.1297 0.0413 -0.2967 0.0262 -0.3236 0.0269 -3.5097 0.0367 -2.6767 0.0181 -2.7036 0.0190 0.8330 0.0407 0.8061 0.0411 -0.0269 0.0260 0.00333 1.588 
2456972.32334 -4.9170 0.0186 -2.4725 0.0027 -6.0162 0.0348 -5.1788 0.0182 -5.1845 0.0178 2.4445 0.0188 -1.0992 0.0395 -0.2618 0.0260 -0.2675 0.0257 -3.5437 0.0349 -2.7063 0.0184 -2.7120 0.0180 0.8374 0.0393 0.8317 0.0391 -0.0057 0.0255 0.00333 1.584 
2456972.32406 -4.9344 0.0188 -2.5325 0.0027 -6.0282 0.0364 -5.2585 0.0191 -5.2323 0.0190 2.4019 0.0190 -1.0938 0.0410 -0.3241 0.0268 -0.2979 0.0267 -3.4957 0.0365 -2.7260 0.0193 -2.6998 0.0192 0.7697 0.0411 0.7959 0.0411 0.0262 0.0269 0.00333 1.580 
2456972.32476 -4.9318 0.0188 -2.5567 0.0028 -6.0392 0.0380 -5.2356 0.0194 -5.2489 0.0203 2.3751 0.0190 -1.1074 0.0424 -0.3038 0.0270 -0.3171 0.0277 -3.4825 0.0381 -2.6789 0.0196 -2.6922 0.0205 0.8036 0.0427 0.7903 0.0431 -0.0133 0.0281 0.00333 1.576 
2456972.32545 -4.9845 0.0197 -2.5908 0.0029 -6.1577 0.0425 -5.3040 0.0204 -5.3082 0.0209 2.3937 0.0199 -1.1732 0.0468 -0.3195 0.0284 -0.3237 0.0287 -3.5669 0.0426 -2.7132 0.0206 -2.7174 0.0211 0.8537 0.0471 0.8495 0.0474 -0.0042 0.0292 0.00333 1.572 
2456972.32612 -4.9800 0.0222 -2.5423 0.0030 -5.9843 0.0407 -5.2529 0.0229 -5.2366 0.0223 2.4377 0.0224 -1.0043 0.0464 -0.2729 0.0319 -0.2566 0.0315 -3.4420 0.0408 -2.7106 0.0231 -2.6943 0.0225 0.7314 0.0467 0.7477 0.0464 0.0163 0.0320 0.00333 1.568 
2456972.32681 -4.9571 0.0219 -2.5798 0.0032 -6.0836 0.0456 -5.2429 0.0227 -5.2445 0.0234 2.3773 0.0221 -1.1265 0.0506 -0.2858 0.0315 -0.2874 0.0320 -3.5038 0.0457 -2.6631 0.0229 -2.6647 0.0236 0.8407 0.0509 0.8391 0.0513 -0.0016 0.0326 0.00333 1.564 
2456972.32748 -4.9797 0.0229 -2.5455 0.0031 -6.0552 0.0462 -5.3063 0.0240 -5.3528 0.0260 2.4342 0.0231 -1.0755 0.0516 -0.3266 0.0332 -0.3731 0.0346 -3.5097 0.0463 -2.7608 0.0242 -2.8073 0.0262 0.7489 0.0521 0.7024 0.0530 -0.0465 0.0354 0.00333 1.561 
2456972.32816 -4.9411 0.0209 -2.4987 0.0029 -6.0238 0.0404 -5.2472 0.0212 -5.2651 0.0215 2.4424 0.0211 -1.0827 0.0455 -0.3061 0.0298 -0.3240 0.0300 -3.5251 0.0405 -2.7485 0.0214 -2.7664 0.0217 0.7766 0.0456 0.7587 0.0458 -0.0179 0.0302 0.00333 1.557 
2456972.32884 -4.9966 0.0230 -2.5620 0.0031 -6.0652 0.0437 -5.2740 0.0220 -5.2180 0.0218 2.4346 0.0232 -1.0686 0.0494 -0.2774 0.0318 -0.2214 0.0317 -3.5032 0.0438 -2.7120 0.0222 -2.6560 0.0220 0.7912 0.0489 0.8472 0.0488 0.0560 0.0310 0.00333 1.553 
2456972.32953 -4.9955 0.0228 -2.5996 0.0032 -6.0158 0.0421 -5.2926 0.0230 -5.3296 0.0245 2.3959 0.0230 -1.0203 0.0479 -0.2971 0.0324 -0.3341 0.0335 -3.4162 0.0422 -2.6930 0.0232 -2.7300 0.0247 0.7232 0.0480 0.6862 0.0487 -0.0370 0.0336 0.00333 1.549 
2456972.33088 -5.0077 0.0253 -2.5827 0.0034 99.9999 9.9999 -5.2522 0.0255 -5.3215 0.0270 2.4250 0.0255 99.9999 9.9999 -0.2445 0.0359 -0.3138 0.0370 99.9999 9.9999 -2.6695 0.0257 -2.7388 0.0272 99.9999 9.9999 99.9999 9.9999 -0.0693 0.0371 0.00333 1.542 
2456972.33156 -4.9951 0.0246 -2.5418 0.0032 -6.0318 0.0472 -5.3104 0.0262 -5.3026 0.0257 2.4533 0.0248 -1.0367 0.0532 -0.3153 0.0359 -0.3075 0.0356 -3.4900 0.0473 -2.7686 0.0264 -2.7608 0.0259 0.7214 0.0540 0.7292 0.0537 0.0078 0.0367 0.00333 1.538 
2456972.33223 -4.9992 0.0224 -2.5450 0.0031 -5.9922 0.0412 -5.2746 0.0236 -5.2569 0.0239 2.4542 0.0226 -0.9930 0.0469 -0.2754 0.0325 -0.2577 0.0328 -3.4472 0.0413 -2.7296 0.0238 -2.7119 0.0241 0.7176 0.0475 0.7353 0.0476 0.0177 0.0336 0.00333 1.535 
